customer_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,risk_score,risk_tier
CUST_00055,26,140250,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.033633415,Low
CUST_00056,26,140250,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.005519109,Low
CUST_00057,23,140250,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,N,4,0.0003750172,Low
CUST_00058,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.02698499,Low
CUST_00059,24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.15,Y,3,0.15128432,Low
CUST_00060,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.0013291062,Low
CUST_00061,22,140250,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,7.033182e-05,Low
CUST_00062,26,140250,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.096897274,Low
CUST_00063,25,140250,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.9502536,High
CUST_00064,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.9846089,High
CUST_00065,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.28759882,Low
CUST_00066,26,140250,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.0044533513,Low
CUST_00067,25,140250,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.07619537,Low
CUST_00068,24,140250,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.014745674,Low
CUST_00069,25,140250,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.053866144,Low
CUST_00070,25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,0.98695093,High
CUST_00071,22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.49,N,2,0.9970692,High
CUST_00072,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.9932232,High
CUST_00073,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.99001276,High
CUST_00074,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.9868923,High
CUST_00075,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.9977412,High
CUST_00076,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.9933509,High
CUST_00077,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.9982901,High
CUST_00078,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.9969056,High
CUST_00079,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.99897575,High
CUST_00080,24,140250,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.04833321,Low
CUST_00081,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.059896205,Low
CUST_00082,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.05311107,Low
CUST_00083,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.23,N,4,0.99492246,High
CUST_00084,22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.06086926,Low
CUST_00085,23,140250,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.04799489,Low
CUST_00086,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,0.99405754,High
CUST_00087,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.997139,High
CUST_00088,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.99299955,High
CUST_00089,22,140250,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.0011978027,Low
CUST_00090,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.9909763,High
CUST_00091,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.9923246,High
CUST_00092,24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.37,N,3,0.9993012,High
CUST_00093,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.9958482,High
CUST_00094,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.04500216,Low
CUST_00095,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.009224815,Low
CUST_00096,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.9915394,High
CUST_00097,25,140250,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.14459242,Low
CUST_00098,24,140250,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.001699544,Low
CUST_00099,26,140250,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.18142371,Low
CUST_00100,25,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.98617435,High
CUST_00101,26,140250,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.16400723,Low
CUST_00102,25,140250,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.096431084,Low
CUST_00103,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.10767592,Low
CUST_00104,22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,0.98130494,High
CUST_00105,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.024433704,Low
CUST_00106,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.9949786,High
CUST_00107,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.61,N,3,0.9995863,High
CUST_00108,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.9874522,High
CUST_00109,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.98399633,High
CUST_00110,26,140250,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.15665118,Low
CUST_00111,25,140250,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.21742614,Low
CUST_00112,26,140250,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.058571544,Low
CUST_00113,24,140250,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.07052794,Low
CUST_00114,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.98057383,High
CUST_00115,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.9856036,High
CUST_00116,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.9979018,High
CUST_00117,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.99658704,High
CUST_00118,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.99716944,High
CUST_00119,22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,0.9964055,High
CUST_00120,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.99859816,High
CUST_00121,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.99758303,High
CUST_00122,25,140250,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.33006623,Medium
CUST_00123,26,140250,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.032115087,Low
CUST_00124,23,140250,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.017885597,Low
CUST_00125,26,140250,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.0007865559,Low
CUST_00126,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.9968984,High
CUST_00127,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.9802238,High
CUST_00128,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.99152875,High
CUST_00129,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.9999455,High
CUST_00130,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.9923774,High
CUST_00131,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.9935928,High
CUST_00132,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.994132,High
CUST_00133,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.9953667,High
CUST_00134,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.99463296,High
CUST_00135,24,140250,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.049902424,Low
CUST_00136,23,140250,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.018043753,Low
CUST_00137,25,140250,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.1701897,Low
CUST_00138,26,140250,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.030498,Low
CUST_00139,23,140250,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.08004965,Low
CUST_00140,26,140250,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.03384108,Low
CUST_00141,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.9956923,High
CUST_00142,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.99990046,High
CUST_00143,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.9957562,High
CUST_00144,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.9996922,High
CUST_00145,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.9986638,High
CUST_00146,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.057635404,Low
CUST_00147,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.9979804,High
CUST_00148,22,140250,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.00056897436,Low
CUST_00149,26,140250,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.0015696065,Low
CUST_00150,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.99639744,High
CUST_00151,22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,0.9954986,High
CUST_00152,24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.45,Y,4,0.96982074,High
CUST_00153,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.9950382,High
CUST_00154,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.99082714,High
CUST_00155,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.9939253,High
CUST_00156,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.99432003,High
CUST_00157,24,140250,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.0007462398,Low
CUST_00158,23,140250,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.5170436,Medium
CUST_00159,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.99638015,High
CUST_00160,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.98876333,High
CUST_00161,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.9911075,High
CUST_00162,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.9998863,High
CUST_00163,23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.31,1,0.29,N,3,0.9978065,High
CUST_00164,24,140250,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.094788946,Low
CUST_00165,24,140250,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.061631367,Low
CUST_00166,21,140250,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.017548433,Low
CUST_00167,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.9932106,High
CUST_00168,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.9882289,High
CUST_00169,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.9916102,High
CUST_00170,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.99156755,High
CUST_00171,25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.99561214,High
CUST_00172,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.9999784,High
CUST_00173,23,140250,MORTGAGE,7.0,EDUCATION,A,28000,7.49,0,0.14,N,2,0.008803412,Low
CUST_00174,21,140250,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.05191988,Low
CUST_00175,24,140250,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.00057295326,Low
CUST_00176,26,140250,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.047478735,Low
CUST_00177,25,140250,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.060936086,Low
CUST_00178,24,140250,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.037770417,Low
CUST_00179,24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.99498296,High
CUST_00180,22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.99474806,High
CUST_00181,22,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.013141898,Low
CUST_00182,25,140250,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.15891883,Low
CUST_00183,25,140250,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.0005914681,Low
CUST_00184,25,140250,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.01948669,Low
CUST_00185,24,140250,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0.0450114,Low
CUST_00186,24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,16.82,1,0.42,Y,2,0.99959487,High
CUST_00187,21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,0.99996233,High
CUST_00188,26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.96660936,High
CUST_00189,23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.9928518,High
CUST_00190,24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.99532855,High
CUST_00191,24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.9729303,High
CUST_00192,25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.9750317,High
CUST_00193,25,140250,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.05790527,Low
CUST_00194,26,140250,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.36405176,Medium
CUST_00195,26,140250,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.017993748,Low
CUST_00196,25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.9845808,High
CUST_00197,22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.99611205,High
CUST_00198,24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.9931375,High
CUST_00199,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.9977906,High
CUST_00200,24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.99931955,High
CUST_00201,25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.98705125,High
CUST_00202,26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.9925942,High
CUST_00203,25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.99594986,High
CUST_00204,25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.9904364,High
CUST_00205,23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.99561924,High
CUST_00206,25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.97926486,High
CUST_00207,24,140250,RENT,0.0,MEDICAL,C,22000,13.48,0,0.11,Y,2,0.06062257,Low
CUST_00208,25,140250,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.06873474,Low
CUST_00209,26,140250,MORTGAGE,5.0,PERSONAL,A,15000,7.49,0,0.08,N,3,0.025898539,Low
CUST_00210,22,140250,MORTGAGE,3.0,VENTURE,C,10000,13.48,0,0.05,N,3,0.039758243,Low
CUST_00211,24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.9917624,High
CUST_00212,22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.9988104,High
CUST_00213,26,140250,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.002687675,Low
CUST_00214,23,140250,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.0011802072,Low
CUST_00215,23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,13.48,1,0.32,Y,2,0.98818576,High
CUST_00216,23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.995987,High
CUST_00217,23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.9960372,High
CUST_00218,25,140250,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,3.0651147e-05,Low
CUST_00219,24,140250,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,0.040696733,Low
CUST_00220,25,140250,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.048025824,Low
CUST_00221,24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.99889106,High
CUST_00222,23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.98764867,High
CUST_00223,21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.99859506,High
CUST_00224,24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.9814948,High
CUST_00225,24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.9888815,High
CUST_00226,21,14400,MORTGAGE,0.0,MEDICAL,C,1500,13.48,0,0.1,N,4,0.1527389,Low
CUST_00227,24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.9861448,High
CUST_00228,26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.9848092,High
CUST_00229,22,140250,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.067379795,Low
CUST_00230,26,140250,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.0004960839,Low
CUST_00231,24,140250,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0.18847702,Low
CUST_00232,23,140250,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0.0006506156,Low
CUST_00233,24,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,0.04817628,Low
CUST_00234,24,140250,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,0.05209744,Low
CUST_00235,22,140250,MORTGAGE,3.0,EDUCATION,A,1000,7.49,0,0.01,N,2,0.0060861004,Low
CUST_00236,25,140250,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0.011560569,Low
CUST_00237,23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,0.9995534,High
CUST_00238,26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,15.31,1,0.34,Y,4,0.99977595,High
CUST_00239,25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,0.9676289,High
CUST_00240,23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,0.9812071,High
